company,date,naf,num_emp
BPS INTERIM CDI CDD,19-06-1974,Activités des agences de travail temporaire (7820Z),10 à 19 salariés
DG DIFFUSION,31-12-1987,Commerce de gros (commerce interentreprises) d'autres biens domestiques (4649Z),50 à 99 salariés
IDEE BLANCHE CONSEIL,22-07-2010,Formation continue d'adultes (8559A),
OPEN,,Autres activités liées au sport (9319Z),
Data Soluce,17-06-2016,Conseil pour les affaires et autres conseils de gestion (7022Z),1 à 2 salariés
BMS CIRCUITS,19-11-2010,Fabrication de cartes électroniques assemblées (2612Z),200 à 249 salariés
Rex Rotary,18-10-1991,Réparation d'ordinateurs et d'équipements périphériques (9511Z),500 à 999 salariés
Nexter,05-02-1987,Fabrication d'armes et de munitions (2540Z),500 à 999 salariés
NEXEYA,15-10-1982,Fabrication d'instrumentation scientifique et technique (2651B),500 à 999 salariés
Groupe Etchart,01-08-2019,Services funéraires (9603Z),
Infomil,30-03-1994,Edition de logiciels applicatifs (5829C),250 à 499 salariés
Orange,25-04-1983,Commerce de gros d'habillement (514C),
Syngenta,,Activités des organisations professionnelles (9412Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Axione,19-09-2005,Télécommunications filaires (6110Z),
LCI,19-07-2002,Commerces de détail divers en magasin spécialisé (524Z),
POTEZ AERONAUTIQUE,,Autres assurances (6512Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
LYRA Network,11-01-2001,"Traitement de données, hébergement et activités connexes (6311Z)",100 à 199 salariés
Arkadia Group,18-03-2016,Conseil pour les affaires et autres conseils de gestion (7022Z),6 à 9 salariés
idex,,Activités de clubs de sports (9312Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Veolia,15-02-2007,Formation continue d'adultes (8559A),
Groupe Gedone,09-05-2003,Tierce maintenance de systèmes et d'applications informatiques (6202B),6 à 9 salariés
Fortil,,Action sociale sans hébergement n.c.a. (8899B),
SPIE,19-12-2001,Formation continue d'adultes (8559A),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Actia Automotive,23-11-1992,Fabrication de cartes électroniques assemblées (2612Z),500 à 999 salariés
Habitat Toulouse,29-12-2017,Travaux de menuiserie bois et pvc (4332A),
Coca-Cola European Partners,01-02-1988,Production de boissons rafraîchissantes (1107B),2000 à 4999 salariés
Sogetrel,11-01-1989,Construction de réseaux électriques et de télécommunications (4222Z),0 salarié (unités ayant eu des salariés au cours de l'année de référence mais plus d'effectif au 31/12)
BABCOCK WANSON,22-12-2015,"Ingénierie, études techniques (7112B)",100 à 199 salariés
Dachser France,14-09-1999,Activités des sociétés holding (6420Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
SCLE SFE,20-12-2001,Construction de réseaux électriques et de télécommunications (4222Z),250 à 499 salariés
aquila RH,14-10-2014,Activités des agences de travail temporaire (7820Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Maser engineering,25-07-1973,Réparation de machines et équipements mécaniques (3312Z),250 à 499 salariés
Siemens AG,,Activités des sociétés holding (6420Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
babcock-wanson,22-12-2015,"Ingénierie, études techniques (7112B)",100 à 199 salariés
Groupe Marraud,11-12-1989,Activités des sociétés holding (6420Z),10 à 19 salariés
ARTELIA,19-05-1976,"Ingénierie, études techniques (7112B)",500 à 999 salariés
ARTELIA Holding,30-04-2014,Activités des sièges sociaux (7010Z),250 à 499 salariés
emovia,02-01-2019,"Ingénierie, études techniques (7112B)",
ALD,07-03-2006,Réparation de meubles et d'équipements du foyer (9524Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Sercel,,Autres organisations fonctionnant par adhésion volontaire (9499Z),1 à 2 salariés
Apave,10-06-1987,Activités des sociétés holding (6420Z),1 à 2 salariés
Schindler,11-12-1990,Autres travaux d'installation n.c.a. (4329B),10 à 19 salariés
Safran,24-03-1995,Commerce de gros (commerce interentreprises) d'autres biens domestiques (4649Z),3 à 5 salariés
Toulouse Tech Transfer,03-02-2012,Recherche-développement en autres sciences physiques et naturelles (7219Z),20 à 49 salariés
F&h Ingénierie,09-11-1964,Agences immobilieres (7906),
GROUPE DL,11-07-2012,Activités des sociétés holding (6420Z),1 à 2 salariés
WEENEO CONSULTING,28-02-2018,"Ingénierie, études techniques (7112B)",
Altran,07-05-2012,"Ingénierie, études techniques (7112B)",Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
AVENTA,08-07-2011,"Ingénierie, études techniques (7112B)",3 à 5 salariés
Davidson consulting,02-09-2005,"Ingénierie, études techniques (7112B)",50 à 99 salariés
CLS,13-09-1999,Location de terrains et d'autres biens immobiliers (6820B),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
SYNGENTA FRANCE SAS,15-10-2002,Recherche-développement en biotechnologie (7211Z),1000 à 1999 salariés
Spie Batignolles,19-12-2001,Formation continue d'adultes (8559A),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
BEE ENGINEERING,16-08-2010,"Ingénierie, études techniques (7112B)",200 à 249 salariés
CBRE,18-03-1983,Conseil pour les affaires et autres conseils de gestion (7022Z),0 salarié (unités ayant eu des salariés au cours de l'année de référence mais plus d'effectif au 31/12)
Deloitte,16-12-1997,Conseil pour les affaires et autres conseils de gestion (7022Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
VINCI Energies,17-07-2019,Autres activités de soutien aux entreprises n.c.a. (8299Z),
Modis,21-01-1986,Commerce d'alimentation générale (521B),
ARTELIA INDUSTRIE,19-05-1976,"Ingénierie, études techniques (7112B)",500 à 999 salariés
Econocom,18-04-1983,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels (4651Z)",200 à 249 salariés
SNEF,21-11-1977,Réparation d'équipements électriques (3314Z),20 à 49 salariés
SolutionData,13-12-2007,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels (4651Z)",1 à 2 salariés
Ingerop,30-07-2019,Activités des sociétés holding (6420Z),
DEMATHIEU BARD,,Construction d'autres bâtiments (4120B),
Defi RH,30-10-2006,Autre mise à disposition de ressources humaines (7830Z),6 à 9 salariés
TMC,24-09-2014,Activités liées aux systèmes de sécurité (8020Z),
CADEV,11-01-2016,"Ingénierie, études techniques (7112B)",20 à 49 salariés
TOULOUSE METROPOLE HABITAT,22-12-1995,Location de logements (6820A),250 à 499 salariés
Baran,,Travaux de peinture et vitrerie (4334Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
KEP TECHNOLOGIES,20-02-2001,"Ingénierie, études techniques (7112B)",10 à 19 salariés
calligee,03-11-1988,Recherche-développement en sciences physiques et naturelles (731Z),
IT link,09-07-2015,"Ingénierie, études techniques (7112B)",1 à 2 salariés
Plastisud,02-10-1988,Fabrication d'éléments en matières plastiques pour la construction (2223Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Famille Michaud Apiculteurs,14-05-1952,Fabrication d'autres produits alimentaires n.c.a. (1089Z),100 à 199 salariés
AGENIUM SPACE,25-07-2018,"Ingénierie, études techniques (7112B)",
Hitech One,06-01-2009,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels (4651Z)",1 à 2 salariés
Maf Roda,,Commerce de gros (commerce interentreprises) de matériel agricole (4661Z),
Erems,22-02-2016,Travaux de maçonnerie générale et gros oeuvre de bâtiment (4399C),1 à 2 salariés
Sud Ouest Aliment,13-03-1991,Fabrication d'aliments pour animaux de ferme (1091Z),250 à 499 salariés
SORHEA,02-09-1987,Fabrication d'équipements de communication (2630Z),50 à 99 salariés
Arkadia,06-06-2019,Activités des sociétés holding (6420Z),
Axofi Communication,26-12-2003,Régie publicitaire de médias (7312Z),
irstea,,Autres organisations fonctionnant par adhésion volontaire (9499Z),1 à 2 salariés
Quadra,30-09-1996,"Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau (8219Z)",3 à 5 salariés
ACTIVUS Group,21-12-2015,Conseil en systèmes et logiciels informatiques (6202A),
Interval Prestations,27-01-2017,Activités des agences de travail temporaire (7820Z),
NextGen RH,08-06-2009,Conseil pour les affaires et autres conseils de gestion (7022Z),20 à 49 salariés
Serma Ingenierie,05-06-1990,"Ingénierie, études techniques (7112B)",500 à 999 salariés
GRAITEC,16-10-1992,Edition de logiciels applicatifs (5829C),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Segula Technologies,18-05-2001,Autres activités de soutien aux entreprises n.c.a. (8299Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
DGE Groupe,11-06-2020,Construction de maisons individuelles (4120A),
Cat-Amania,07-11-2003,Conseil en systèmes et logiciels informatiques (6202A),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Nomios,06-08-2004,Conseil en systèmes et logiciels informatiques (6202A),20 à 49 salariés
ARCESI,25-04-2016,Conseil en systèmes et logiciels informatiques (6202A),6 à 9 salariés
ALTEN,18-11-1988,Conseil en systèmes et logiciels informatiques (6202A),5000 à 9999 salariés
EXPECTRA,,Activités des syndicats de salariés (9420Z),1 à 2 salariés
Chubb France SICLI,06-01-1970,Activités liées aux systèmes de sécurité (8020Z),2000 à 4999 salariés
Seres Technologies,09-10-2008,"Ingénierie, études techniques (7112B)",50 à 99 salariés
PROSEGUR,05-06-1980,Activités de sécurité privée (8010Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
SOFRESID ENGINEERING,14-02-1986,"Ingénierie, études techniques (7112B)",250 à 499 salariés
Inddigo,19-09-1995,Conseil pour les affaires et autres conseils de gestion (7022Z),100 à 199 salariés
Les Scop,10-06-1975,Construction de maisons individuelles (4120A),20 à 49 salariés
GA CONSULTING RH,01-07-2013,Activités des agences de placement de main-d'oeuvre (7810Z),6 à 9 salariés
CEBIPHAR,12-12-2008,Recherche-développement en biotechnologie (7211Z),
SETI,,Autres organisations fonctionnant par adhésion volontaire (9499Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Enedis,,Construction d'autres ouvrages de génie civil n.c.a. (4299Z),
SERMA INGENIERIE,05-06-1990,"Ingénierie, études techniques (7112B)",500 à 999 salariés
SOLINGEO,01-02-2010,"Ingénierie, études techniques (7112B)",6 à 9 salariés
AERTEC,18-05-2001,Réparation et maintenance d'aéronefs et d'engins spatiaux (3316Z),200 à 249 salariés
BackPlan,06-01-2011,"Ingénierie, études techniques (7112B)",10 à 19 salariés
FORCE INTERIM,14-05-1992,Activités des agences de travail temporaire (7820Z),3 à 5 salariés
Solutec,19-06-2007,Autres travaux d'installation n.c.a. (4329B),
Exakis,29-12-2000,Conseil en systèmes et logiciels informatiques (6202A),250 à 499 salariés
CS Group,26-11-1993,Conseil en systèmes et logiciels informatiques (6202A),1000 à 1999 salariés
Cadreo,21-11-2007,Autre création artistique (9003B),
Acensi,21-06-2016,Conseil pour les affaires et autres conseils de gestion (7022Z),1 à 2 salariés
INSIDE Group,09-10-2014,Autres commerces de détail spécialisés divers (4778C),
Keyrus,,Activités des syndicats de salariés (9420Z),1 à 2 salariés
EOLE CONSULTING,03-04-2012,Conseil en systèmes et logiciels informatiques (6202A),50 à 99 salariés
VRDANDCO,07-07-2010,Conseil pour les affaires et autres conseils de gestion (7022Z),1 à 2 salariés
Eurovia,18-11-1982,Construction de routes et autoroutes (4211Z),500 à 999 salariés
AR COMPTA RECRUTEMENT,10-09-2019,Conseil pour les affaires et autres conseils de gestion (7022Z),
Egis,,Activités des syndicats de salariés (9420Z),
GIF TOULOUSE,31-10-1973,Activités des agences de travail temporaire (7820Z),10 à 19 salariés
XLM Services,04-08-2009,"Ingénierie, études techniques (7112B)",100 à 199 salariés
Airbus,,Activités de clubs de sports (9312Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Groupe DL,11-07-2012,Activités des sociétés holding (6420Z),1 à 2 salariés
Jsearch,10-09-2012,Conseil pour les affaires et autres conseils de gestion (7022Z),3 à 5 salariés
Viveris,17-03-2008,Activités des marchands de biens immobiliers (6810Z),
ALCADIA ENTREPRISES,14-10-1998,"Ingénierie, études techniques (7112B)",100 à 199 salariés
SYCLEF HOLDING,24-09-2015,Activités des sociétés holding (6420Z),10 à 19 salariés
AKKA TECHNOLOGIES,20-05-1999,Gestion de fonds (6630Z),20 à 49 salariés
Artal,28-01-2009,Programmation informatique (6201Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
BASF Health and Care Products France SAS,23-09-1958,Fabrication d'autres produits chimiques organiques de base (2014Z),200 à 249 salariés
Acep,,Conseil pour les affaires et autres conseils de gestion (7022Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Fondatec,22-02-1993,Conseil pour les affaires et la gestion (741G),
Freyssinet,,Activités des infirmiers et des sages-femmes (8690D),
Extia,02-08-2007,"Ingénierie, études techniques (7112B)",500 à 999 salariés
ITS Group,04-04-1996,Conseil en systèmes et logiciels informatiques (6202A),500 à 999 salariés
F&H Ingénierie,09-11-1964,Agences immobilieres (7906),
Fondasol,01-06-2016,Activité des géomètres (7112A),20 à 49 salariés
FAYAT BATIMENT,08-10-1973,Construction d'autres bâtiments (4120B),500 à 999 salariés
Serma Technologies,02-12-2016,Recherche-développement en autres sciences physiques et naturelles (7219Z),
Noveltis,13-11-1998,Recherche-développement en autres sciences physiques et naturelles (7219Z),20 à 49 salariés
EDF,,Édition de revues et périodiques (5814Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
ING'EUROP,18-07-1989,"Ingénierie, études techniques (7112B)",20 à 49 salariés
Digital.Security,22-05-2017,Conseil en systèmes et logiciels informatiques (6202A),
Securitas,26-03-1999,Contrôle technique automobile (7120A),1 à 2 salariés
OXINO,06-11-2019,Conseil pour les affaires et autres conseils de gestion (7022Z),
Ing'Europ,18-07-1989,"Ingénierie, études techniques (7112B)",20 à 49 salariés
CENTRE COMMUNAL D ACTION SOCIALE,,Action sociale sans hébergement n.c.a. (8899B),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
ALSTOM,,Activités des syndicats de salariés (9420Z),
Altereo,04-09-2000,Activités des sociétés holding (6420Z),1 à 2 salariés
Adisseo,,Autres enseignements (8559B),
Enerjia,08-01-2008,"Ingénierie, études techniques (7112B)",20 à 49 salariés
EXCENT,28-12-2004,Activités des sociétés holding (6420Z),3 à 5 salariés
PAPETERIES DE SAINT GIRONS,28-11-1994,Fabrication de papier et de carton (1712Z),250 à 499 salariés
Goupil,,Élevage de vaches laitières (0141Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Continental France,26-01-1957,Activités des sociétés holding (6420Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
DELTAFLUID,05-06-2001,"Ingénierie, études techniques (7112B)",10 à 19 salariés
RAZEL-BEC,,Construction d'autres ouvrages de génie civil n.c.a. (4299Z),
Lindt,,Activités des syndicats de salariés (9420Z),3 à 5 salariés
Supplay,,Action sociale sans hébergement n.c.a. (8899B),
HEMODIA,26-06-2019,Activités des sièges sociaux (7010Z),
Maisons du Monde,,Autres organisations fonctionnant par adhésion volontaire (9499Z),20 à 49 salariés
XY,25-03-1981,Activités comptables (6920Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Groupe Bigard,09-04-1970,Transformation et conservation de la viande de boucherie (1011Z),2000 à 4999 salariés
ARKOLIA ENERGIES,03-02-2009,"Ingénierie, études techniques (7112B)",20 à 49 salariés
Atlantique Automatismes Incendie,29-06-1992,"Installation de structures métalliques, chaudronnées et de tuyauterie (3320A)",500 à 999 salariés
Technoflex,24-02-1984,"Fabrication d'articles en fils métalliques, de chaînes et de ressorts (2593Z)",6 à 9 salariés
MVIP Consulting,26-12-2017,Conseil pour les affaires et autres conseils de gestion (7022Z),
MCI SAS,04-10-2017,Construction de maisons individuelles (4120A),
YES INTERIM,28-01-1993,Activités des sociétés holding (6420Z),20 à 49 salariés
Groupe Partnaire,05-01-1990,Travail temporaire (745B),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
AGILINK RH,07-08-2019,Activités des agences de placement de main-d'oeuvre (7810Z),
ACTUAL EAUNES,04-12-2019,Activités des agences de travail temporaire (7820Z),
Welljob,29-04-2016,Activités des agences de travail temporaire (7820Z),1 à 2 salariés
EXPERTIS INTERIM,21-12-2017,Activités des agences de travail temporaire (7820Z),
BREF SERVICE SUD OUEST,21-12-2004,Activités des agences de travail temporaire (7820Z),1 à 2 salariés
SCIERIE ARCHIMBAUD,06-08-1992,Activités des sièges sociaux (7010Z),10 à 19 salariés
ES TETE GRAND SUD OUEST,11-03-2008,Conseil pour les affaires et autres conseils de gestion (7022Z),6 à 9 salariés
TERREAL,22-12-2004,Activités des sociétés holding (6420Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
KLUBB GROUP,04-09-2018,Fabrication de structures métalliques et de parties de structures (2511Z),
FONROCHE BIOGAZ,03-02-2011,"Ingénierie, études techniques (7112B)",Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
MY SAT SHOP,27-04-2016,Commerce de gros (commerce interentreprises) d'appareils électroménagers (4643Z),1 à 2 salariés
SEAC GUIRAUD FRERES,26-03-1962,Fabrication d'éléments en béton pour la construction (2361Z),500 à 999 salariés
SARL SQUIBAN,14-03-2001,Travaux d'installation d'équipements thermiques et de climatisation (4322B),10 à 19 salariés
SORMAF,14-10-1981,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers (4669B),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Soverdi,29-06-1983,Commerce de gros (commerce interentreprises) de matériel agricole (4661Z),10 à 19 salariés
Assistra,24-11-2016,Activités des agences de travail temporaire (7820Z),1 à 2 salariés
THEVENIN SA,,Activités des syndicats de salariés (9420Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Profil Search,01-03-2013,Activités des agences de placement de main-d'oeuvre (7810Z),3 à 5 salariés
AFPA,15-12-2016,Formation continue d'adultes (8559A),
Randstad Inhouse,17-10-1975,Activités des agences de travail temporaire (7820Z),0 salarié (unités ayant eu des salariés au cours de l'année de référence mais plus d'effectif au 31/12)
SOCAPS CONSULTING,05-11-1986,Conseil pour les affaires et autres conseils de gestion (7022Z),1 à 2 salariés
Schneider Electric,,Activités des syndicats de salariés (9420Z),1 à 2 salariés
Seac,,Conseil en relations publiques et communication (7021Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Socomec,23-11-1982,Activités des sièges sociaux (7010Z),10 à 19 salariés
Advance Engineering,17-10-1996,"Ingénierie, études techniques (7112B)",100 à 199 salariés
LDC,13-05-1974,Transformation et conservation de la viande de volaille (1012Z),200 à 249 salariés
Delpeyrat,11-02-1987,Hôtels et hébergement similaire (5510Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
KPARK,15-09-2009,Autres commerces de détail en magasin non spécialisé (4719B),
AVA,28-01-2016,"Ingénierie, études techniques (7112B)",1 à 2 salariés
CABINET MOLIERES,20-07-2009,Agences immobilières (6831Z),1 à 2 salariés
CHU TOULOUSE,02-12-1954,Commerce de détail de journaux et papeterie en magasin spécialisé (4762Z),1000 à 1999 salariés
GLS,14-05-1979,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses (0111Z)",Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
HABITALYS,25-07-2002,Location de logements (6820A),50 à 99 salariés
Fondation Apprentis d'Auteuil,11-01-2019,Enseignement secondaire technique ou professionnel (8532Z),5000 à 9999 salariés
BDM WALTER FRANCE,01-02-2008,Activités comptables (6920Z),20 à 49 salariés
Mutuelle Previfrance,,Autres assurances (6512Z),250 à 499 salariés
Interaction,14-02-2014,Programmation informatique (6201Z),20 à 49 salariés
IOTA INDUSTRIE,30-06-2003,"Activités spécialisées, scientifiques et techniques diverses (7490B)",50 à 99 salariés
Bastide,,Hébergement touristique et autre hébergement de courte durée (5520Z),
BESTSELLER,20-04-2005,Commerce de gros (commerce interentreprises) d'habillement et de chaussures (4642Z),100 à 199 salariés
IN'LI SUD OUEST,24-10-1975,Location de logements (6820A),20 à 49 salariés
DELAIR TECH,11-03-2011,Construction aéronautique et spatiale (3030Z),50 à 99 salariés
UGAP,,Activités de clubs de sports (9312Z),3 à 5 salariés
Mericq,21-05-2001,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses (0111Z)",Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
PROMAID,03-05-2006,Aide à domicile (8810A),50 à 99 salariés
Mitch SAS,13-03-2019,Restauration de type rapide (5610C),
JADEVIE SERVICES,02-07-2009,Aide à domicile (8810A),20 à 49 salariés
V2V,,Autres organisations fonctionnant par adhésion volontaire (9499Z),
GESTRIMMONIA,28-04-2004,Administration d'immeubles et autres biens immobiliers (6832A),20 à 49 salariés
SUD OUEST CREATIONS,24-07-2001,Activités des agences de publicité (7311Z),1 à 2 salariés
Marketiz,22-02-2013,Conseil en relations publiques et communication (7021Z),0 salarié (unités ayant eu des salariés au cours de l'année de référence mais plus d'effectif au 31/12)
BIEN CHEZ VOUS,02-03-2020,Aide à domicile (8810A),
Nestenn,02-07-2014,Agences immobilières (6831Z),1 à 2 salariés
BLUE BOX,,Arts du spectacle vivant (9001Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
LOU PRUNEL,05-08-1982,Activités de conditionnement (8292Z),6 à 9 salariés
RUECAB,15-06-1982,Commerce de gros (commerce interentreprises) d'autres biens domestiques (4649Z),6 à 9 salariés
CD2I,31-05-2017,Conseil pour les affaires et autres conseils de gestion (7022Z),
Panorama pizza,21-06-2019,Restauration traditionnelle (5610A),
EHPAD Les Capucins,,Hébergement médicalisé pour personnes âgées (8710A),50 à 99 salariés
SPORTING GESTION,14-02-1983,Location de terrains et d'autres biens immobiliers (6820B),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
THOMAS ET DANIZAN,,Activités des syndicats de salariés (9420Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Mutami,,Autres assurances (6512Z),50 à 99 salariés
FAVOLS,14-12-2006,Restauration traditionnelle (5610A),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Capfun,11-01-2010,Terrains de camping et parcs pour caravanes ou véhicules de loisirs (5530Z),
Medisys,25-03-1991,Commerce de gros (commerce interentreprises) de produits pharmaceutiques (4646Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
ENVIROBAT OCCITANIE,,Autres organisations fonctionnant par adhésion volontaire (9499Z),
SYNGENTA France SAS,15-10-2002,Recherche-développement en biotechnologie (7211Z),1000 à 1999 salariés
BANQUE EDEL,27-02-1969,Autres intermédiations monétaires (6419Z),100 à 199 salariés
HOPITAL JOSEPH DUCUING,,Autres organisations fonctionnant par adhésion volontaire (9499Z),
MAXIME BATTESTI,25-11-2015,Activités des agences de placement de main-d'oeuvre (7810Z),
BFPV,25-08-2015,Activités des sociétés holding (6420Z),1 à 2 salariés
ACE CONSULTING,06-10-2005,Conseil pour les affaires et autres conseils de gestion (7022Z),
Duo Venandi,10-01-2020,Activités des agences de placement de main-d'oeuvre (7810Z),
Pharmacie du Haut Salat,05-05-2011,Commerce de détail de produits pharmaceutiques en magasin spécialisé (4773Z),3 à 5 salariés
Good Light,27-10-2017,Activités des agences de publicité (7311Z),
Derichebourg interim,05-09-1960,Activités des agences de travail temporaire (7820Z),50 à 99 salariés
T2i TELECOM,28-11-1994,Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels (3320C),6 à 9 salariés
D Medica,18-08-1995,Pratique médicale (851C),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
TOMA INTERIM,25-04-2016,Activités des agences de travail temporaire (7820Z),1 à 2 salariés
DOMINO OCCITANIE,10-08-2017,Activités des agences de travail temporaire (7820Z),
Hays,,Administration publique générale (8411Z),3 à 5 salariés
Dentego,30-06-1981,Services annexes à la production (748K),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Chauvois Laurence,,Pratique dentaire (8623Z),1 à 2 salariés
OZZEO,15-07-2008,Nettoyage courant des bâtiments (8121Z),20 à 49 salariés
GROUPE MORGAN SERVICES,19-04-1972,Activités des agences de travail temporaire (7820Z),50 à 99 salariés
Oxilio,31-12-2008,Autres services personnels n.c.a. (9609Z),10 à 19 salariés
SOLUCES RH,17-11-2014,Activités des agences de travail temporaire (7820Z),3 à 5 salariés
Domusvi domicile,23-08-1996,Aide à domicile (8810A),1000 à 1999 salariés
LEIKA,,Autres organisations fonctionnant par adhésion volontaire (9499Z),
ARTHUR WATSON,16-04-2012,Conseil pour les affaires et autres conseils de gestion (7022Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Lafayette Conseil,08-06-2005,Formation continue d'adultes (8559A),
CARTOON,06-12-2000,En instance de chiffrement (000Z),
RIVIERE,,Location de logements (702A),
AL&CO Montauban,21-01-2015,En instance de chiffrement (0000Z),
A Dom'Services,16-07-2009,Accueil de jeunes enfants (8891A),20 à 49 salariés
Tacteo SE,16-01-2012,Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau (4666Z),6 à 9 salariés
Valiantys,03-05-2006,Conseil en systèmes et logiciels informatiques (6202A),20 à 49 salariés
Nutrinat,29-04-2002,Commerces de détail alimentaires spécialisés divers (522P),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
KHEPRI,30-05-1996,Restauration de type traditionnel (553A),
Cap Face Nord,05-03-2001,Conseil pour les affaires et autres conseils de gestion (7022Z),3 à 5 salariés
Domino's,02-06-2005,Débits de boissons (5630Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
OPT'IN RECRUTEMENT,16-11-2017,Activités des agences de placement de main-d'oeuvre (7810Z),
Expectra,,Activités des syndicats de salariés (9420Z),1 à 2 salariés
RUTOLAN FRANCE,22-02-1984,Commerce de gros (commerce interentreprises) de produits chimiques (4675Z),1 à 2 salariés
OVALIE DEVELOPPEMENT 2,17-08-2016,Activités des sociétés holding (6420Z),10 à 19 salariés
ASTORIA RECRUTEMENT,28-03-2013,Autre mise à disposition de ressources humaines (7830Z),
SGL,02-10-2013,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a. (7739Z)",
DEF,,Autres organisations fonctionnant par adhésion volontaire (9499Z),
VIVREGAUX,15-04-2014,Aide à domicile (8810A),10 à 19 salariés
France Glass,08-08-1972,Fabrication de verre plat (2311Z),250 à 499 salariés
PALANCA,,Autres organisations fonctionnant par adhésion volontaire (9499Z),
MATELEM,30-08-1984,Sciage et rabotage du bois (201A),
TUTTI PIZZA,30-10-2000,"Location-bail de propriété intellectuelle et de produits similaires, à l'exception des oeuvres soumises à copyright (7740Z)",3 à 5 salariés
KOBALTT,27-12-2012,Activités des agences de travail temporaire (7820Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
STC CONSULTING,19-12-2019,Commerce de voitures et de véhicules automobiles légers (4511Z),
