company,date,naf,num_emp
LA RESIDENCE DU LAC,,Autres organisations fonctionnant par adhésion volontaire (9499Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
MAISON DE FAMILLE LA CERISAIE,06-10-1987,Hébergement médicalisé pour personnes âgées (8710A),50 à 99 salariés
CENTRE HOSPITALIER,,Activités hospitalières (8610Z),100 à 199 salariés
CENTRE HOSPITALIER D'AUCH,,Activités hospitalières (8610Z),1000 à 1999 salariés
MUTUALITE FRANCAISE HAUTE-GARONNE,,Autres assurances (6512Z),250 à 499 salariés
Elsan,13-03-2017,Commerce de détail de la chaussure (4772A),
RESIDENCE VILLA NAPOLI,08-06-1995,Hébergement médicalisé pour personnes âgées (8710A),10 000 salariés et plus
Clinique Belharra,28-12-2006,Activités hospitalières (8610Z),250 à 499 salariés
Orpea,20-11-1987,Accueil des personnes âgées (853D),
Les petits chaperons rouges,07-10-2008,Accueil de jeunes enfants (8891A),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
CENTRE INFIRMIER,,Activités des infirmiers et des sages-femmes (8690D),6 à 9 salariés
EHPAD Saint Jacques,,Hébergement médicalisé pour personnes âgées (8710A),50 à 99 salariés
CLINIQUE D AMADE,19-10-2011,Activités hospitalières (8610Z),50 à 99 salariés
EHPAD ST VINCENT DE PAUL,,Hébergement médicalisé pour personnes âgées (8710A),20 à 49 salariés
MAISON DE RETRAITE ALBODI,21-05-2002,Hébergement médicalisé pour personnes âgées (8710A),50 à 99 salariés
Grand Montauban,,Aide à domicile (8810A),20 à 49 salariés
Pôle Emploi,29-04-1957,Édition de journaux (5813Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Groupe Elsan,26-10-2007,Activités des sociétés holding (6420Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
temporis,27-05-1993,Restauration de type rapide (5610C),
Adapei des Landes,,Action sociale sans hébergement n.c.a. (8899B),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Clinique MONIE,26-04-2002,Activité des médecins généralistes (8621Z),6 à 9 salariés
COOPEMPLOI,29-12-2016,Activités des agences de travail temporaire (7820Z),
Job Medical,22-05-2007,Activités des agences de placement de main-d'oeuvre (7810Z),20 à 49 salariés
DOMINO INTERIM,07-12-1999,Activités des sociétés holding (6420Z),1 à 2 salariés
APPEL INTERIM,25-11-2019,Activités des agences de travail temporaire (7820Z),
JOB MEDICAL,22-05-2007,Activités des agences de placement de main-d'oeuvre (7810Z),20 à 49 salariés
DomusVi,08-02-1989,Hébergement social pour personnes âgées (8730A),20 à 49 salariés
people&baby,22-03-2010,En instance de chiffrement (0000Z),
transicia,09-03-2016,Activités des agences de travail temporaire (7820Z),
AGEMS,05-05-2015,Activités des agences de travail temporaire (7820Z),1 à 2 salariés
PHI-RH,29-07-2011,Autre mise à disposition de ressources humaines (7830Z),6 à 9 salariés
ADEQUAT SANTE,13-12-2017,Autre mise à disposition de ressources humaines (7830Z),
EDENIS,,Hébergement médicalisé pour personnes âgées (8710A),1000 à 1999 salariés
MAISON SAINT ANTOINE,29-07-1994,Services annexes à la production (748K),1 à 2 salariés
LP RECRUTEMENT,26-09-2019,Activités des agences de placement de main-d'oeuvre (7810Z),
Air Liquide,27-12-2010,Activités des sièges sociaux (7010Z),50 à 99 salariés
Clinique Castelviel,12-01-1971,Activités hospitalières (8610Z),0 salarié (unités ayant eu des salariés au cours de l'année de référence mais plus d'effectif au 31/12)
GCS Clinicadour,29-11-2019,Activités hospitalières (8610Z),
FED'ES,,Autres organisations fonctionnant par adhésion volontaire (9499Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
SAS DU LAC,30-09-1988,Hébergement médicalisé pour personnes âgées (8710A),50 à 99 salariés
EHPAD SAINT MARTIN,,Hébergement médicalisé pour personnes âgées (8710A),50 à 99 salariés
CLINIQUE NEPHROLOGIQUE SAINT EXUPERY,10-08-1990,Activités hospitalières (8610Z),100 à 199 salariés
PMSM,30-12-2005,Conseil pour les affaires et autres conseils de gestion (7022Z),100 à 199 salariés
BIOSUD,25-03-1981,Laboratoires d'analyses médicales (8690B),
S.E.D.N.A France,,Autres organisations fonctionnant par adhésion volontaire (9499Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
ASSOCIATION SOLIDARITE FAMILIALE,,Autres organisations fonctionnant par adhésion volontaire (9499Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
FONDATION RAMBAM,,Hébergement médicalisé pour personnes âgées (8710A),50 à 99 salariés
GE64,15-12-2000,Activités des agences de travail temporaire (7820Z),
LABEXA,12-04-2018,Autres activités de soutien aux entreprises n.c.a. (8299Z),
Clinique Pasteur,,Autres activités de soutien aux entreprises n.c.a. (8299Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Ziguelmann,,Activités des infirmiers et des sages-femmes (8690D),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
KORIAN,20-05-2020,Autres activités de poste et de courrier (5320Z),
My laser center,28-08-2019,Entretien corporel (9604Z),
Centre de soins,,Activité des médecins généralistes (8621Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Les Jardins D'Iroise,26-09-1984,Hébergement médicalisé pour personnes âgées (8710A),50 à 99 salariés
CLINIQUE DE GASCOGNE,11-08-1967,Activités hospitalières (8610Z),50 à 99 salariés
LABOSUD GARONNE,28-07-1983,Laboratoires d'analyses médicales (8690B),100 à 199 salariés
Kelly Services,,Activités des syndicats de salariés (9420Z),3 à 5 salariés
Coop Emploi,18-05-2005,Conseil pour les affaires et autres conseils de gestion (7022Z),50 à 99 salariés
